Record_ID,Customer_Name,City,State,Region,Category,Sub_Category,Transaction_Date,Quantity,Unit_Price,Discount,Revenue,Profit,Rating,Status
SUP1000,Randall Hogan,New Jennifershire,Illinois,East,A,Type2,2025-09-18,8,20.23,0.2,4015.38,3225.35,3.7,Completed
SUP1001,Christopher Myers,Molinaborough,Maine,East,B,Type3,2024-02-19,13,430.32,0.1,6498.25,1100.56,3.1,Completed
SUP1002,Anita Johnson,Matthewville,Illinois,West,B,Type2,2026-05-22,18,77.49,0.22,3047.13,4971.04,4.5,Completed
SUP1003,Suzanne Martin,Martinezland,North Dakota,South,C,Type2,2024-10-05,10,259.45,0.1,1212.18,2454.87,1.6,Pending
SUP1004,Samuel Lang,East Christine,Washington,North,D,Type3,2023-11-08,8,841.4,0.13,3330.87,1226.78,4.0,Completed
SUP1005,Zachary Garcia,South Karenhaven,Oregon,East,D,Type3,2025-06-15,4,802.39,0.24,8618.18,4433.73,3.1,Cancelled
SUP1006,Wendy Franklin,Josephton,California,East,A,Type3,2024-01-09,19,988.47,0.15,7383.57,1810.31,2.9,Pending
SUP1007,Jessica Bernard,Michaelmouth,Massachusetts,South,A,Type3,2024-05-07,7,499.39,0.23,3131.96,721.79,3.6,Cancelled
SUP1008,Melissa Phillips DDS,Angelberg,Tennessee,East,B,Type1,2024-11-14,15,571.15,0.2,593.26,56.22,4.4,Cancelled
SUP1009,Gregory Mathews,Port Audreymouth,Wyoming,West,D,Type2,2024-04-03,18,156.65,0.19,7367.94,527.77,3.6,Cancelled
SUP1010,Bryan Carroll,Fredchester,West Virginia,North,C,Type3,2026-01-23,2,471.99,0.28,3634.41,4945.12,1.5,Pending
SUP1011,Cynthia Henry,Rodriguezmouth,Indiana,North,D,Type3,2025-06-03,15,792.38,0.2,9532.52,1385.07,1.8,Pending
SUP1012,Virginia Thompson,Bowenfort,Florida,North,B,Type1,2026-03-06,19,628.04,0.12,8939.93,2149.88,3.7,Pending
SUP1013,Joseph Herrera,Richardfurt,Iowa,East,B,Type2,2024-12-28,10,416.75,0.1,8177.5,2396.19,1.4,Pending
SUP1014,Matthew Hill,South Kevin,Vermont,East,C,Type3,2024-06-23,13,291.76,0.21,4477.13,2494.3,3.3,Cancelled
SUP1015,Karina Bradley,East Jasonfort,New Jersey,North,B,Type1,2024-02-01,5,802.53,0.25,4359.13,-390.6,3.9,Cancelled
SUP1016,Jamie Clarke,Lake Carolyn,Vermont,North,C,Type1,2026-04-03,11,539.64,0.16,2579.03,1580.01,2.0,Pending
SUP1017,Patricia Rivera,Aprilbury,Montana,East,B,Type3,2024-06-08,9,843.54,0.02,4426.59,2282.49,2.1,Cancelled
SUP1018,Sydney Jones,West John,Montana,East,B,Type1,2025-09-06,15,623.24,0.16,9824.3,4351.77,3.1,Pending
SUP1019,Paige Holden,Smithburgh,Colorado,West,C,Type2,2026-04-23,10,968.01,0.12,7507.06,4636.13,2.4,Completed
SUP1020,Tina Barajas,Williamborough,Minnesota,North,D,Type3,2023-09-26,2,302.02,0.03,3465.38,1328.38,2.3,Cancelled
SUP1021,Mr. Thomas Washington,Zavalahaven,Maryland,North,B,Type1,2025-09-14,10,422.05,0.16,4783.94,3677.88,1.5,Cancelled
SUP1022,Valerie Robertson,Ayalafurt,North Dakota,South,D,Type2,2026-03-06,16,241.17,0.21,5382.28,303.61,1.5,Completed
SUP1023,Taylor Brock,East Mark,Indiana,South,D,Type3,2025-03-21,11,11.1,0.06,2052.53,3015.1,4.4,Completed
SUP1024,Steven Brooks,North Kathleenberg,New Mexico,East,B,Type2,2025-03-02,17,821.14,0.02,8756.48,4800.45,4.6,Completed
SUP1025,Melissa Butler,West Penny,Minnesota,South,C,Type1,2024-09-10,12,630.08,0.03,1604.12,4844.19,4.4,Pending
SUP1026,Andrea Sosa,North Traci,Idaho,North,D,Type1,2024-05-28,2,689.67,0.14,6076.79,2599.95,2.6,Completed
SUP1027,Timothy Castillo,New Michaelberg,Illinois,East,C,Type1,2025-05-31,3,359.23,0.05,4928.2,1025.76,4.2,Cancelled
SUP1028,Raymond Nelson,Jacksonfort,Washington,West,B,Type3,2024-12-20,8,150.17,0.25,2988.49,2958.12,3.1,Completed
SUP1029,Christina King,Smithhaven,Mississippi,East,C,Type2,2023-06-08,16,727.63,0.05,3552.61,498.67,3.4,Cancelled
SUP1030,Felicia Solomon,South Dustin,North Carolina,West,A,Type1,2024-04-14,15,511.42,0.07,1744.85,1828.52,3.3,Cancelled
SUP1031,Mr. Anthony Johnson,Kingburgh,Texas,East,D,Type1,2025-04-29,7,597.01,0.02,1521.89,2487.24,2.5,Completed
SUP1032,Thomas Taylor,East Yvetteside,Texas,North,B,Type1,2026-04-15,4,455.26,0.25,9110.78,-232.2,4.1,Pending
SUP1033,Mr. Nicholas Williams,West Abigailfort,Tennessee,East,D,Type3,2026-01-26,2,753.74,0.12,8874.07,3936.83,1.9,Cancelled
SUP1034,Stacy Bowen,New Nicholasshire,Vermont,North,A,Type3,2026-03-22,8,513.47,0.11,4064.8,615.64,3.4,Cancelled
SUP1035,Jessica Elliott,Clarkland,Illinois,East,D,Type3,2023-07-19,11,732.99,0.12,8654.8,4437.58,1.1,Pending
SUP1036,Bryan Munoz,Jasmineside,Hawaii,South,B,Type2,2024-11-05,5,311.05,0.01,791.78,4034.9,4.6,Completed
SUP1037,Adam Rogers,Port Kimberly,Texas,South,B,Type3,2025-05-06,12,557.83,0.29,184.76,1280.8,3.3,Cancelled
SUP1038,William Brown,Lake Patriciachester,Ohio,South,A,Type1,2026-04-17,16,510.97,0.21,531.36,4392.58,2.1,Pending
SUP1039,Miss Jennifer Hurst,Lake Stephanie,Montana,East,C,Type1,2023-08-08,7,823.52,0.25,5116.27,1742.67,1.3,Pending
SUP1040,Elizabeth Coleman,Hartport,Nevada,West,B,Type2,2024-08-19,10,308.55,0.22,7945.81,116.79,1.7,Cancelled
SUP1041,Sara Johnson,New Brandonfort,New York,South,B,Type3,2025-04-06,16,138.88,0.23,9177.89,4309.07,4.6,Cancelled
SUP1042,Wesley Dominguez,East Lisa,Iowa,West,B,Type2,2026-03-18,19,934.8,0.24,3902.38,779.76,2.0,Cancelled
SUP1043,Glenn Williams,Jacobstad,Georgia,South,D,Type1,2023-08-27,12,937.92,0.29,6094.21,4744.21,1.7,Cancelled
SUP1044,Anthony Schwartz,Port Kathrynburgh,Virginia,East,C,Type3,2024-09-27,18,801.61,0.26,1773.01,1894.87,4.4,Completed
SUP1045,Roger Nunez,South Ronald,New Hampshire,South,D,Type2,2025-12-30,12,210.15,0.03,1909.48,3997.64,3.3,Completed
SUP1046,Michael Smith,East Alfredland,Hawaii,West,D,Type2,2026-02-08,19,41.59,0.19,3753.65,1449.06,1.4,Pending
SUP1047,Chelsea Mills,Lake Elizabethborough,Idaho,West,D,Type3,2026-04-01,19,97.45,0.05,8101.93,-191.47,1.2,Cancelled
SUP1048,Margaret King,Patrickmouth,California,East,A,Type1,2024-12-23,4,52.24,0.27,5490.62,948.22,2.1,Cancelled
SUP1049,Amy Richardson,Lake Kaylastad,Michigan,South,D,Type1,2024-07-07,19,176.09,0.11,4897.84,648.11,5.0,Completed
SUP1050,Gabrielle Thomas,Port Meghanside,Alabama,East,D,Type3,2024-01-06,16,509.98,0.13,1029.38,3749.54,4.0,Pending
SUP1051,Justin Vargas,Port Michaelmouth,Louisiana,North,C,Type3,2025-05-02,8,285.68,0.11,3350.9,3485.24,4.7,Cancelled
SUP1052,Tyler Richards,Port Lisabury,Ohio,West,D,Type2,2025-02-24,7,170.79,0.14,1042.72,3217.26,2.8,Pending
SUP1053,David Mccann,West Morganhaven,Louisiana,North,B,Type3,2023-10-29,19,29.94,0.27,179.7,4005.89,3.9,Completed
SUP1054,Ryan Horn,West Jason,Wisconsin,North,B,Type2,2026-05-05,13,21.19,0.19,6576.17,-101.2,4.6,Completed
SUP1055,Rhonda Turner,Bradleyville,Kansas,South,C,Type3,2024-07-17,19,493.32,0.15,2081.33,1847.2,2.3,Pending
SUP1056,Sean Collins,Michellefort,Minnesota,West,B,Type1,2024-11-28,19,613.2,0.28,6148.63,4999.87,4.3,Pending
SUP1057,Jennifer Wilson,South Robinchester,New Mexico,East,A,Type1,2025-03-04,12,383.75,0.08,2835.68,-228.53,1.9,Pending
SUP1058,Mary Tyler,South Michael,North Dakota,South,B,Type1,2026-01-31,13,136.88,0.27,8320.44,3511.69,3.1,Completed
SUP1059,Richard Pierce,,Alaska,West,C,Type3,2025-08-26,15,161.33,0.14,2299.71,3312.19,4.3,Completed
SUP1060,Brittney Ford,North Jose,Delaware,North,A,Type1,2023-10-08,1,29.41,0.0,5427.16,3706.43,1.3,Pending
SUP1061,Brianna Campbell,,Arizona,North,C,Type1,2024-07-29,18,678.06,0.11,1649.25,1389.64,3.9,Completed
SUP1062,Steven Carroll,Tammyview,Massachusetts,North,B,Type1,2023-07-12,3,111.57,0.28,3593.74,1157.58,3.1,Cancelled
SUP1063,Michael Mcdowell,South Stevenland,Indiana,West,D,Type2,2023-12-12,10,142.65,0.01,1887.73,4500.73,4.8,Cancelled
SUP1064,Amy Olson,New Peterport,Utah,North,A,Type3,2025-01-07,15,17.34,0.28,4859.3,754.49,4.3,Cancelled
SUP1065,Mr. Dylan Downs,Lake Elizabethport,Michigan,North,B,Type2,2024-06-02,4,705.73,0.1,1672.27,1156.39,4.4,Completed
SUP1066,Cindy Castillo,New Tony,Tennessee,West,D,Type3,2026-05-22,18,394.77,0.24,7892.81,614.75,2.0,Cancelled
SUP1067,Michael Jackson,Mariaview,Idaho,North,D,Type2,2024-03-30,14,890.51,0.21,5109.7,3228.27,4.4,Completed
SUP1068,Brian Norman,West Tracy,Louisiana,West,C,Type2,2026-03-25,12,627.9,0.2,7067.74,417.65,2.2,Cancelled
SUP1069,Robert Ritter,North Carl,Washington,North,C,Type2,2025-03-27,10,70.49,0.26,9286.34,2000.5,2.3,Pending
SUP1070,Michelle Garcia,Josephland,Maryland,East,D,Type3,2024-03-11,11,861.99,0.3,6367.52,1420.23,4.0,Cancelled
